ikápanganyayà,происходить(из-за чего)
ikápag-aral,"учить, изучать(из-за чего)"
ipagpaaral,"использовать для пла(в связи с чем, из-за чего)"
ikaayaw,не любить (из-за чего)
ikabaák,раскалываться (из-за чего)
ikababà,"понижаться, снижаться(напр. о ранге, статусе) (из-за"
ikabaklá,приходить в замешательство (из-за чего)
ikabagabag,"беспокоиться, тревожиться (из-за чего)"
ikabagbág-loób,"приходить в расстройство, смятение (из-за чего)"
ikabagót,"раздражаться, сердитьсяII. раздражаться (из-за чего)"
ikabagót,"раздражаться, сердиться(из-за чего)"
ikábagsák,"1. падать, сваливаться(из-за чего) 2. терпеть крах; про-"
ikábagsák,"1. падать, сваливатьсяваливаться на экзамене (из-за чего)"
ikabahalà,"беспокоиться, волноваться (из-за чего)"
ikábahín,чихать (из-за чего)
ikabainat,заболеть вновь (из-за
ikabalam,"задерживаться, опаздывать (из-за чего)"
ikabalbál,разбиваться на куски(из-за чего)
ikabalì,"ломаться, обламываться(из-за чего)"
ikabalík,возвращаться (из-за чего)
ikabalino,"беспокоиться, тревожиться (из-за чего)"
ikabalisa,"волноваться, беспокоиться (из-за чего)"
ikabalo,овдоветь (из-за чего)
ikábanggâ,сталкиваться (из-за
ikábanggít,упоминать (из-за чего)
ipagbangon,восставать (из-за чего)
ikabaog,стать бесплодной (из-за
ikábaón,погрузиться во что-л.;погрязнуть в чем-л. (из-за чего)
ikabawa,"сокращаться, уменьшаться(из-за чего)"
ikabigát,1. становиться тяжелым(из-за чего) 2. становиться тяже-
ikabigát,"1. становиться тяжелымлым, серьезным (из-за чего)"
ikabigô,терпеть неудачу (из-за чего)
ikabihag,стать пленником (из-за
ikabihasa,"привыкать, приучатьсяк чему-л. (из-за чего)"
ikábilanggô,оказаться в тюрьме(из-за чего)
ikabingit,оказаться на краю (из-за
ikabiyák,раскалываться (из-за
ikabiyuda,овдоветь (из-за чего)
ikabiyudo,овдоветь (из-за чего)
ikabukó,потерпеть неудачу (из-за
ikabugnót,раздражаться (из-за чего)
ikabulabog,сниматься с места(из-за чего)
ikabulag,слепнуть (из-за чего)
ikabulók,"гнить, портиться (из-за"
ikábunggô,сталкиваться (из-за
ikabuô,формироваться (из-за чего)
"ibuti,",ikabuti улучшаться (из-за
ikabuwág,"разрушаться, уничто(из-за чего)"
ikabuwál,падать (из-за чего)
ikabuwisit,раздражать (из-за чего)
ikabuyó,"соблазняться, прельщатьсячем-л. (из-за чего)"
ikakuha,"брать, доставать (из-за"
ipagkulang,не хватать (из-за чего)
ikadakilà,"быть, становиться великим (из-за чего)"
ikapagdahóp,"бедствовать, нуждаться (из-за чего)"
ikapagdalamhatì,"горевать, страдать (из-за чего)"
idayo,"1. увозить (напр. на гастжать, эмигрировать (из-за чего)"
ikáparoól,оказаться в беде (из-за
ikadurog,"разбивать, раскалыватьна куски (из-за чего)"
ipagdusa,"мучиться, страдать(из-за чего)"
igaán,1. становиться легким (из-за
ikagaán,становиться легким (из-за
igalà,"1. сопровождать в странствии,2. ходить вокруг чего-л. (из-за чего,"
ikagalák,"радоваться (чему, из-за"
ikagalit,"сердиться, злиться (из-за"
ikagalit,"сердиться, злиться (из-за(из-за чего)"
ikagalit,"сердиться, злиться (из-заpagkagalitán ссориться (из-за"
ikagipít,оказываться в трудном положении (из-за чего)
igrabe,"становиться тяжелым, серьезным (из-за чего)"
ihigít,1. делать лучше чего-л.(из-за чего)
ihigpít,"1. делать крепким, прочгим, суровым (из-за чего)"
ikápaghinalà,подозревать (из-за
ipaghinanakít,обижаться (из-за
ihingal,задыхаться (из-за чего)
ikahirap,"становиться трудным,тяжелым (из-за чего)"
ikahirap,"становиться трудным,(из-за чего)"
ikápagpahirap,"ввергать в трудности, тяготы, страдания (из-за"
ikáhulí,опаздывать (из-за чего)
ikaiklî,"укорачиваться, сокращаться (из-за чего)"
ikailíng,мотать головой в знак(из-за чего)
ikainís,"раздражаться (из-за кого,"
ikainís,"раздражаться (из-за кого,из-за чего)"
ikairita,раздражаться (из-за чего)
isipín,"1. объект размышленийволноваться, беспокоиться из-за"
iahon,"1. носить на гору, из дерев4. избавляться от чего-либо"
ikaayaw,"не любить (из-за чего)от чего-л., отвергать что-л."
ikabaghán,"оцепенеть, остолбенеть(от чего)"
ikabaliw,сходить с ума (от чего)
ikabingí,1. глохнуть (от чего)
ipahawan,велеть расчистить2. очищать от чего-л.
ipahingá,"1. отправлять на отдых,(в чем), отдыхать (от чего)"
ibagan,"1. уклоняться, увертываться (от чего) 2. парировать"
igaya,"1. удовольствие, удовлетвопытывать удовольствие (от чего)"
igkasán,отскакивать (от чего)
igtarán,"1. отскакивать, увертываться (от чего) 2. дергать (ма-"
ipangilag,"избегать (чего), уклоняться (от чего)"
ipangilag,"избегать (чего), уклогать чего-л., уклоняться от чего-л."
ilalambô,водяные пузыри; пенауклоняться (от чего)
imbabáw,(2) фальшивое золотоцемерно отказываться от чего-л.
inam,"сущ. хорошее, приятноеудовлетворение (от чего)"
inisyahán,"посвящать, приниматьmainís задыхаться (от чего)"
ingat-yaman,казначей; хранительстерегать (кого) от чего-л.
ikalaganap,распространяться(из-за чего)
ikalagkít,"становиться клейким,липким (из-за чего)"
iliban,"1. откладывать на времяте, в школе и т.п. (из-за чего)"
ikaligalig,"беспокоиться, тревожиться (из-за чего)"
ikaligaya,быть счастливым (из-за
iliham,1. писать в письме (что)2. писать письмо (из-за чего)
ikalinaw,1. становиться чистым(из-за чего) 2. становиться понят-
ikalinaw,"1. становиться чистымным, ясным (из-за чего)"
ikalitáw,"появляться, показываться(отчего, из-за чего)"
ikalugi,"терпеть урон, убыток(из-за чего)"
iluylóy,"обвисать, отвисать (из-за"
ikapagmukhâ,быть похожим(из-за чего)
ikangalay,"неметь, затекать (из-за"
ikangitî,улыбаться (из-за чего)
ikapagsama,брать с собой (из-за
ikasama,присоединять (из-за
ikapasamâ,"портить, губить (из-за"
ikasanay,"становиться тренированным, привычным (из-за чего)"
ikasansalà,запрещать (из-за чего)
ipagsapantahà,подозревать (из-за
ikásará,закрывать (из-за чего)
ikasawatâ,прекращать (из-за
ikasawáy,"останавливать, сдерживать (из-за чего)"
ikasawî,1. оказаться в беде (из-за
ikasawî,"1. оказаться в беде (из-зачего) 2. погибнуть (от чего, из-за"
ikasayá,"становиться радостным,счастливым (из-за кого, из-за чего)"
ikasayang,растрачивать попусту(из-за чего)
ikasiglá,"оживляться, оживать(из-за чего)"
ikasipón,простужаться (из-за
ikasirà,"1. ломаться, портиться(из-за чего) 2. терять репутацию"
ikasirà,"1. ломаться, портиться(из-за кого, из-за чего)"
ikasirà,"1. ломаться, портитьсяцию (из-за кого, из-за чего)"
isukláy,использовать как расчесние (из-за чего)
ikasugat,пораниться (из-за чего)
ikasugpô,"предотвращать, пресекать (из-за чего)"
ikasulong,"развиваться, прогрессировать (из-за чего)"
ikatagál,долго задерживаться(из-за чего)
ikatahimik,"успокаиваться, умиротворяться (из-за чего)"
itandâ,стариться (из-за чего)
ikapatangá,"смотреть, разинуврот, ошалело (из-за чего)"
"itawa,","ikátawa, ikatawá смеяться(из-за чего)"
ikapatawad,прощать (из-за чего)
ikatigagal,"смущаться, приходитьв замешательство (из-за чего)"
ikatigatig,беспокоится (из-за чего)
ikátigil,останавливаться (из-за
itirík,ставить (стоймя); устанавтанавливающийся (напр. из-за
itirík,ставить (стоймя); устанаво здании) 2. останавливаться (из-за
ikatumal,не идти (о делах) (из-за
ituwíd,"1. выпрямлять, разгибатьsamakat(u)wíd потому что, из-за"
ipagwalángbahalà,не обращатьчто-л. (из-за чего)
ikawasák,разрушаться (из-за чего)
ikalangó,пьянеть (от чего)
"ikalasíng,",ikápaglasíng пьянеть(от чего)
ikaloko,"дуреть, глупеть (от чего)"
ikalugód,испытывать радость(от чего)
ikalulà,испытывать головокружение (от чего)
ipangilin,"соблюдать (пост), от(от чего)"
ikapagod,уставать (от чего)
ipawì,"сирать, соскабливать (чем)избавляться от чего-л."
ipiraso,1. отрезать куски (дляотрывать кусок (от чего)
ipiraso,1. отрезать куски (длякусок от чего-л.
ipaputol,"велеть отрубить, отреот чего)"
ipaputol,"велеть отрубить, отреputulán то, от чего отрубают,"
isanggá,"1. парировать, отражатьдля защиты от чего-л. или отра-"
ikasawatâ,прекращать (из-заот чего-л.
ikasawî,"1. оказаться в беде (из-зачего) 2. погибнуть (от чего, из-за"
isinsáy,1. поворачивать в сторонуsinsayán 1. отклоняться (от чего)
itakbó,"уносить бегóм, увозитьгать (откуда, от чего,)"
itakwíl,"отказываться, отрекаться(от кого, от чего); отвергать,"
itanggí,1. отказываться (от чего)
itanggí,1. отказываться (от чего)отказываться от чего-л.
iwaksí,1. стряхивать (что) 2. изот чего-л. 3. отрекаться
